Mahesh Kaushik Stock Market Data Bank  Updated Till Sept 2024,,,,,,,,,,,,,,,,,,,,,,
BSE Code,Company Name          ,Sector,Face Value,Total Equity Capital,Total Share Cr.,Book Value,Sales in Cr.,Net Sale Par Share,Net Profit Cr.,EPS,Dividend Rupees,D/E ratio,RONW %,Promoters %,Pledged %,Institutional %,Market Cap,Price ,52 Week High,52 Week Low,52 Week High/ Low Ratio,Entprise Value
533022,20 Microns Ltd.,Mining & Minerals,5,17.64,3.53,96.23,777.49,220.38,56.01,14.21,1.25,0.3,16.92,44.95,0,0.84,1028.43,306,346.7,121.5,2.85,1085.45
526921,21st Century Management Services Ltd.,Finance - Investment,10,10.5,1.05,64.07,38.55,36.71,32.17,30.7,0,0.08,88.08,64.3,0,0,132.14,123.35,139,17.79,7.81,132.39
542772,360 One Wam Ltd.,Finance - Others,1,35.89,35.89,67.63,2507.03,69.85,804.21,18.92,12.5,0.37,28.91,15.79,6.39,73.28,39358.5,1068,1138.3,488,2.33,40165.85
532067,3B Blackbio Dx Ltd.,Pesticides & Agrochemicals,10,8.57,0.86,242.26,74.13,86.50,32.1,39.93,3,0.08,8.97,41.29,0,5.24,1203.25,1335,1550,660,2.35,1149.08
532628,3I Infotech Ltd.,IT - Software,10,169.23,16.92,4.66,813.88,48.09,-298.27,-48.37,0,0.05,6.05,0,0,9.75,560.72,32.73,63.9,30.81,2.07,570.76
523395,3M India Ltd.,Diversified,10,11.27,1.13,2234.05,4189.36,3717.27,583.42,476.05,685,0,24.84,75,0,12.04,39902.9,35350,40726.8,28424,1.43,38784.83
516092,3P Land Holdings Ltd.,Finance - Investment,2,3.6,1.80,55.95,3.56,1.98,1.81,1,0,0,2.15,73.3,0,0,73.8,39.4,55.99,22.27,2.51,73.58
531925,52 Weeks Entertainment Ltd.,"Film Production, Distribution & Entertainment",10,34.88,3.49,4.55,71.9,20.61,4.19,0.05,0,0.24,-1.01,9.43,0,0,5.09,1.46,2.26,1.19,1.90,8.7
540776,5Paisa Capital Ltd.,Finance - Stock Broking,10,31.19,3.12,175.2,394.57,126.51,54.44,16.62,0,0.64,10.51,32.78,0,22.95,1692.29,533.3,759.1,405,1.87,391.92
526881,63 Moons Technologies Ltd.,IT - Software,2,9.22,4.61,621.53,472.11,102.41,212.35,58.42,2,0,1.07,45.63,0,4.21,1862.26,389,688.8,240,2.87,747.51
540615,7NR Retail Ltd.,Trading,10,28.01,2.80,10.07,11.62,4.15,-1.11,-0.4,0,0.18,-3.81,10.96,0,0,16.69,5.96,10.17,0.44,23.11,21.82
540874,7Seas Entertainment Ltd.,IT - Software,10,18.66,1.87,7.46,12.49,6.69,-0.17,0.52,0,-4.46,0,31.32,0,0,183.58,84.5,93.49,26.01,3.59,182.77
542012,A-1 Acid Ltd.,Trading,10,11.5,1.15,42.27,206.14,179.25,1.47,0.95,0,0.22,2.28,70.03,0,2.91,376.4,320.1,439.95,313,1.41,380.49
533292,A2Z Infra Engineering Ltd.,Engineering - Construction,10,176.12,17.61,0.17,388.49,22.06,26.85,-0.49,0,59.35,-135.27,28.14,28.05,1.65,290.07,16.56,24.62,8.27,2.98,462.63
543671,AAA Technologies Ltd.,BPO/ITeS,10,12.83,1.28,22.43,23.79,18.54,3.21,2.5,0,0,12.04,71.5,0,0,187.59,144,146.79,56.2,2.61,167.08
544176,Aadhar Housing Finance Ltd.,Finance - Housing,10,394.76,39.48,175.08,2586.81,65.53,749.64,18.96,0,3.18,18.64,76.48,0,12.67,19703.52,458.4,486.75,314.1,1.55,32391.75
530027,Aadi Industries Ltd.,Plastic Products,10,10,1.00,-6.72,0,0.00,-0.09,-0.09,0,-1.05,0,24.86,0,0.24,6.05,6.1,8.9,3.02,2.95,12.8
539096,Aananda Lakshmi Spinning Mills Ltd.,Textile - Spinning,10,3.5,0.35,-49.65,2.09,5.97,4.08,19.59,0,-1.12,0,58.67,0,0.01,6.3,17.67,32.46,9.28,3.50,27.61
538812,Aanchal Ispat Ltd.,Steel & Iron Products,10,20.85,2.09,-0.55,109.35,52.45,-6.25,-3,0,15.89,-139.47,31.85,0,0,13.03,6.06,11.38,4.81,2.37,91.01
542377,AAR Shyam India Investment Co Ltd.,Finance - Investment,10,3,0.30,12.47,0.28,0.93,-0.39,-1.29,0,0.08,7.33,8.58,0,0,2.82,9.41,9.41,5.96,1.58,2.42
524412,Aarey Drugs & Pharmaceuticals Ltd.,Pharmaceuticals & Drugs,10,28.05,2.81,46.89,395.62,141.04,4.69,1.67,0,0.33,3.33,45.28,0,3.4,193.57,66.6,75.75,37,2.05,223.33
539562,Aarnav Fashions Ltd.,Trading,10,42.24,4.22,42.79,356.49,84.40,5.62,1.33,0,0.74,0.22,67.72,0,0,240.97,55.5,58,24.6,2.36,346.29
542580,Aartech Solonics Ltd.,Electric Equipment,5,10.59,2.12,11.84,32.74,15.46,1.31,1.36,0,0.09,6.51,52.68,0,1.39,248.6,78,264.4,66,4.01,250.45
524348,Aarti Drugs Ltd.,Pharmaceuticals & Drugs,10,91.94,9.19,130.76,2528.58,275.03,171.59,15.43,1,0.4,12.39,55.67,0,10.31,4825.21,520.85,634.9,430,1.48,5294.24
524208,Aarti Industries Ltd.,Chemicals,5,181,36.20,149.73,6372,176.02,416,11.52,1,0.6,8.17,43.24,1.64,29.19,20348.09,568.75,769.5,438.05,1.76,23405.54
543748,Aarti Pharmalabs Ltd.,Pharmaceuticals & Drugs,5,45.31,9.06,184.09,1852.61,204.44,216.9,22.14,3,0.15,13.11,46.46,0,18.53,5958.66,661.85,721,371,1.94,6205.03
